V1,V2,Gene1,Gene2
O00268,Q92830,TAF4,KAT2A
P0CG48,P23258,UBC,TUBG1
P0CG48,Q9C035,UBC,TRIM5
P0CG48,Q6UXD5,UBC,SEZ6L2
P0CG48,P31040,UBC,SDHA
P08913,P09936,ADRA2A,UCHL1
A0A024R7W9,O95831,COPS5,AIFM1
P0CG48,Q00005,UBC,PPP2R2B
O75489,P0CG48,NDUFS3,UBC
A0A024R475,P13674,CUL3,P4HA1
P13674,Q92985,P4HA1,IRF7
P08133,P0CG48,ANXA6,UBC
P0CG48,P46821,UBC,MAP1B
P0CG48,Q13151,UBC,HNRNPA0
P55854,Q13151,SUMO3,HNRNPA0
O95831,Q15022,AIFM1,SUZ12
P0CG48,P18669,UBC,PGAM1
A0A024R7W9,P34931,COPS5,HSPA1L
P09936,Q13794,UCHL1,PMAIP1
P0CG48,Q7Z2W4,UBC,ZC3HAV1
A0A024R7W9,Q9P015,COPS5,MRPL15
P0CG48,Q96C92,UBC,SDCCAG3
O15524,P23258,SOCS1,TUBG1
P23258,Q9GZM8,TUBG1,NDEL1
P23258,P39060,TUBG1,COL18A1
P23258,Q96SN8,TUBG1,CDK5RAP2
O43172,P09651,PRPF4,HNRNPA1
P23258,P48431,TUBG1,SOX2
P23258,Q99832,TUBG1,CCT7
P23258,P40227,TUBG1,CCT6A
P23258,Q9Y3Z3,TUBG1,SAMHD1
P23258,P48643,TUBG1,CCT5
O95947,P25788,TBX6,PSMA3
A0A024R9P0,P23258,CEP27,TUBG1
A0A024RBE5,P23258,NEDD1,TUBG1
P09038,P23258,FGF2,TUBG1
P23258,Q9BW61,TUBG1,DDA1
P23258,P68104,TUBG1,EEF1A1
P15924,P23258,DSP,TUBG1
A0A024R9Y7,P23258,MAGED2,TUBG1
P23258,Q05639,TUBG1,EEF1A2
P07900,P23258,HSP90AA1,TUBG1
P51787,Q96CW1,KCNQ1,AP2M1
A0A024RD80,P23258,HSP90AB1,TUBG1
P23258,Q53HF2,TUBG1,HSPA8
A0A024R8L0,P23258,MRPS7,TUBG1
A2RUM7,P23258,RPL5,TUBG1
P23258,P62906,TUBG1,RPL10A
B1AQP2,P23258,PFDN2,TUBG1
A0A024RBK3,P23258,RPL6,TUBG1
P23258,P62263,TUBG1,RPS14
A0A024RBS2,P23258,RPLP0,TUBG1
P23258,P23396,TUBG1,RPS3
P23258,P62841,TUBG1,RPS15
B2ZZ89,P23258,SPTBN1,TUBG1
P23258,P61247,TUBG1,RPS3A
A2A3R6,P23258,RPS6,TUBG1
P23258,Q9BSJ2,TUBG1,TUBGCP2
P04637,P23258,TP53,TUBG1
B4E3T4,O95947,RBPMS,TBX6
P15336,Q9NQC3,ATF2,RTN4
P26368,Q13151,U2AF2,HNRNPA0
O43172,P05067,PRPF4,APP
O43172,Q9BSJ2,PRPF4,TUBGCP2
O43172,Q99471,PRPF4,PFDN5
O43172,Q13107,PRPF4,USP4
O43172,Q9UK45,PRPF4,LSM7
O43172,Q9Y4E8,PRPF4,USP15
P36543,Q9Y3Z3,ATP6V1E1,SAMHD1
P23258,Q76KD6,TUBG1,SPATC1
O60260,P23258,PRKN,TUBG1
O95379,Q12974,TNFAIP8,PTP4A2
P23258,Q5TGZ0,TUBG1,MINOS1
A0A024RB77,P23258,CDK2,TUBG1
O43172,O60925,PRPF4,PFDN1
P08133,Q9NRC8,ANXA6,SIRT7
P36543,Q9H9B4,ATP6V1E1,SFXN1
O14828,P36543,SCAMP3,ATP6V1E1
P48431,Q9P015,SOX2,MRPL15
A0A024R1N4,P17542,XRCC6,TAL1
A0A024RAA0,Q7Z434,C1orf166,MAVS
P04271,P08133,S100B,ANXA6
P55072,Q96C92,VCP,SDCCAG3
P34931,Q549C5,HSPA1L,MST065
A2A3R6,Q13151,RPS6,HNRNPA0
O95379,Q9H8W4,TNFAIP8,PLEKHF2
A0A024QYU9,Q9P015,EIF3S8,MRPL15
O95259,Q96HA8,KCNH1,WDYHV1
G5E962,Q96HA8,MAGEA11,WDYHV1
A0A024RDV8,Q96HA8,TSC22D1,WDYHV1
B4E3T4,Q96HA8,RBPMS,WDYHV1
Q96HA8,Q9NVV9,WDYHV1,THAP1
Q96HA8,Q9UH03,WDYHV1,SEPT3
Q68D86,Q96HA8,CCDC102B,WDYHV1
Q8WWZ3,Q96HA8,EDARADD,WDYHV1
O43439,Q96HA8,CBFA2T2,WDYHV1
Q06124,Q9UIB8,PTPN11,CD84
P51787,P62136,KCNQ1,PPP1CA
P28360,P56178,MSX1,DLX5
P31948,Q9NUX5,STIP1,POT1
P31948,P51617,STIP1,IRAK1
O60232,P31948,SSSCA1,STIP1
P31948,P62333,STIP1,PSMC6
P31948,P56696,STIP1,KCNQ4
P19320,P31948,VCAM1,STIP1
P15336,P31948,ATF2,STIP1
P31948,Q00526,STIP1,CDK3
P31948,Q00535,STIP1,CDK5
P31948,Q9BT78,STIP1,COPS4
P31948,Q00987,STIP1,MDM2
O95816,P31948,BAG2,STIP1
P31948,Q9H0W5,STIP1,CCDC8
P04406,P31948,GAPDH,STIP1
P31948,Q0VDF9,STIP1,HSPA14
P31948,P34932,STIP1,HSPA4
P04156,P31948,PRNP,STIP1
P31948,Q70CQ1,STIP1,USP49
P31948,Q13451,STIP1,FKBP5
O00170,P31948,AIP,STIP1
P31948,Q9Y572,STIP1,RIPK3
P0CG48,P31948,UBC,STIP1
O43819,P36543,SCO2,ATP6V1E1
Q14204,Q9HCD5,DYNC1H1,NCOA5
P17568,P34931,NDUFB7,HSPA1L
P61964,Q7Z434,WDR5,MAVS
O95831,P98170,AIFM1,XIAP
O95831,Q8WXK4,AIFM1,ASB12
Q02952,Q9Y6G9,AKAP12,DYNC1LI1
O43172,Q8NBS9,PRPF4,TXNDC5
Q7Z2W4,Q9Y6Y0,ZC3HAV1,IVNS1ABP
B4DJ51,P19634,CALM1,SLC9A1
O95721,P08069,SNAP29,IGF1R
Q96HA8,Q9HCD5,WDYHV1,NCOA5
P31040,Q13617,SDHA,CUL2
P31040,Q93034,SDHA,CUL5
A0A090N7U0,P31040,CUL1,SDHA
P31040,Q96GG9,SDHA,DCUN1D1
P14927,P31040,UQCRB,SDHA
P31040,Q9UPT8,SDHA,ZC3H4
E9PAU2,P31040,RAVER1,SDHA
A0A024R2M9,P31040,HIGD1A,SDHA
P31040,Q03518,SDHA,TAP1
C9JQS0,P31040,TMEM14B,SDHA
P00387,P31040,CYB5R3,SDHA
P31040,Q9NX62,SDHA,IMPAD1
P31040,P60842,SDHA,EIF4A1
P24752,P31040,ACAT1,SDHA
P24539,P31040,ATP5F1,SDHA
A0A024RBX9,P31040,PDHA1,SDHA
P31040,P49821,SDHA,NDUFV1
P31040,Q15843,SDHA,NEDD8
Q14197,Q9P015,MRPL58,MRPL15
O75489,Q14197,NDUFS3,MRPL58
P05166,Q14197,PCCB,MRPL58
Q69YH5,Q6NYC1,CDCA2,JMJD6
P09936,Q9NYB0,UCHL1,TERF2IP
P09936,Q53HF2,UCHL1,HSPA8
P09936,Q969Q1,UCHL1,TRIM63
A0A024RBB6,P09936,CDK4,UCHL1
O60260,P09936,PRKN,UCHL1
P09936,Q9UK80,UCHL1,USP21
P09936,Q8N726,UCHL1,CDKN2A
Q13151,Q13617,HNRNPA0,CUL2
P31943,Q13151,HNRNPH1,HNRNPA0
P38159,Q13151,RBMX,HNRNPA0
P14866,Q13151,HNRNPL,HNRNPA0
Q13151,Q96BA7,HNRNPA0,HNRNPU
Q13151,Q15056,HNRNPA0,EIF4H
P23396,Q13151,RPS3,HNRNPA0
Q13151,Q9HB71,HNRNPA0,CACYBP
P20674,Q13151,COX5A,HNRNPA0
Q13151,Q86W42,HNRNPA0,THOC6
Q13151,Q96PK6,HNRNPA0,RBM14
P19320,Q13151,VCAM1,HNRNPA0
P31942,Q13151,HNRNPH3,HNRNPA0
P06748,Q13151,NPM1,HNRNPA0
P02545,Q13151,LMNA,HNRNPA0
P20648,P51787,ATP4A,KCNQ1
O95793,Q13151,STAU1,HNRNPA0
E9PJK2,Q13151,EED,HNRNPA0
P61956,Q13151,SUMO2,HNRNPA0
Q13489,Q7Z434,BIRC3,MAVS
O95379,P56537,TNFAIP8,EIF6
B3KNV5,P08069,SH2B1,IGF1R
B4DXM8,P08069,PIK3R3; LOC110117498-PIK3R3,IGF1R
P08069,Q9UKW4,IGF1R,VAV3
P08069,P20936,IGF1R,RASA1
P00533,P08069,EGFR,IGF1R
P04626,P08069,ERBB2,IGF1R
A0A024R3Z2,P08069,SUMO1,IGF1R
P04637,P08069,TP53,IGF1R
P08069,Q13322,IGF1R,GRB10
P08069,P0CG48,IGF1R,UBC
P08069,P32121,IGF1R,ARRB2
P21980,P82251,TGM2,SLC7A9
P23258,P63208,TUBG1,SKP1
O76011,Q96CS7,KRT34,PLEKHB2
P23258,Q8WUM4,TUBG1,PDCD6IP
B3KVH4,P09936,AKT1,UCHL1
A0A090N7U0,P34820,CUL1,BMP8B
P28749,Q9Y5X4,RBL1,NR2E3
P23258,Q9H306,TUBG1,MMP27
A0A024R9W5,Q9NQC3,HUWE1,RTN4
O00159,P15927,MYO1C,RPA2
O15105,O43541,SMAD7,SMAD6
P04406,P43351,GAPDH,RAD52
P31040,Q9UNN8,SDHA,PROCR
O43172,P08579,PRPF4,SNRPB2
Q7Z434,Q96DC9,MAVS,OTUB2
Q3SYF1,Q9NQC3,SNX12,RTN4
Q12872,Q6NYC1,SFSWAP,JMJD6
A4D1U3,P36543,SSBP1,ATP6V1E1
Q13151,Q5VWX1,HNRNPA0,KHDRBS2
P08133,P52888,ANXA6,THOP1
A4D1U3,P17542,SSBP1,TAL1
O95140,P45984,MFN2,MAPK9
A0A024R9W5,O95140,HUWE1,MFN2
P23258,P35268,TUBG1,RPL22
Q14204,Q9NRC8,DYNC1H1,SIRT7
O00159,Q9NRC8,MYO1C,SIRT7
Q7Z2W4,Q9NRC8,ZC3HAV1,SIRT7
P46821,Q9NRC8,MAP1B,SIRT7
O00295,Q01844,TULP2,EWSR1
Q5SSJ5,Q9NRC8,HP1BP3,SIRT7
B2R4W8,P23258,RPS15A,TUBG1
Q969R8,Q9Y664,ITFG2,KPTN
O00268,Q9Y4A5,TAF4,TRRAP
A4D299,O00268,TAF6,TAF4
P32121,P34931,ARRB2,HSPA1L
P34931,Q93034,HSPA1L,CUL5
P34931,Q13617,HSPA1L,CUL2
A0A090N7U0,P34931,CUL1,HSPA1L
P34931,Q96GG9,HSPA1L,DCUN1D1
P34931,P62993,HSPA1L,GRB2
P29353,P34931,SHC1,HSPA1L
B7Z240,P34931,EPS15,HSPA1L
P34931,Q96CW1,HSPA1L,AP2M1
P34931,Q9P035,HSPA1L,HACD3
A0A024R3I5,P34931,MCAM,HSPA1L
P34931,Q8IYS2,HSPA1L,KIAA2013
P34931,Q6PIW4,HSPA1L,FIGNL1
P34931,P35658,HSPA1L,NUP214
P00387,P34931,CYB5R3,HSPA1L
P25705,P34931,ATP5F1A,HSPA1L
P34931,Q96DA6,HSPA1L,DNAJC19
P34896,P34931,SHMT1,HSPA1L
P34931,Q9UJZ1,HSPA1L,STOML2
O75306,P34931,NDUFS2,HSPA1L
P34931,Q9UKB3,HSPA1L,DNAJC12
P34931,P49821,HSPA1L,NDUFV1
P31040,Q9NRC8,SDHA,SIRT7
P34931,Q8TDR0,HSPA1L,TRAF3IP1
P34931,Q9NPI6,HSPA1L,DCP1A
P34931,Q8IZD4,HSPA1L,DCP1B
P34931,Q9BUU2,HSPA1L,METTL22
P11441,P34931,UBL4A,HSPA1L
O95817,P34931,BAG3,HSPA1L
B3KNU0,P34931,RAP1GDS1,HSPA1L
A0A024R284,P34931,UBQLN1,HSPA1L
O95373,P34931,IPO7,HSPA1L
P34931,Q9Y2K1,HSPA1L,ZBTB1
O95429,P34931,BAG4,HSPA1L
O95793,P34931,STAU1,HSPA1L
O43918,P34931,AIRE,HSPA1L
P34931,Q9BV73,HSPA1L,CEP250
P34931,Q86XR8,HSPA1L,CEP57
P04637,P34931,TP53,HSPA1L
O00268,P05412,TAF4,JUN
P17948,P49765,FLT1,VEGFB
A0A024RDU9,O00268,GTF2F2,TAF4
O95140,Q7Z434,MFN2,MAVS
P16104,P34931,H2AFX,HSPA1L
B0QZ35,P34931,SIRT1,HSPA1L
P34931,Q9NTG7,HSPA1L,SIRT3
Q14527,Q9NS91,HLTF,RAD18
A0A024R1N4,P31040,XRCC6,SDHA
O43172,P55072,PRPF4,VCP
O00268,P21675,TAF4,TAF1
Q15645,Q96HA8,TRIP13,WDYHV1
P04424,Q96HA8,ASL,WDYHV1
O75553,Q96HA8,DAB1,WDYHV1
A0A024R7E9,Q96HA8,DHPS,WDYHV1
A0A024R525,Q96HA8,FTH1,WDYHV1
A0A087X1W2,Q96HA8,PRMT1,WDYHV1
P11908,Q96HA8,PRPS2,WDYHV1
P11217,Q96HA8,PYGM,WDYHV1
Q5JR59,Q96HA8,MTUS2,WDYHV1
Q96HA8,Q9Y2J4,WDYHV1,AMOTL2
Q96HA8,Q9BXD5,WDYHV1,NPL
Q13242,Q14204,SRSF9,DYNC1H1
O00268,Q99081,TAF4,TCF12
E5KTI5,Q7Z2W4,NTHL1,ZC3HAV1
O60260,O95140,PRKN,MFN2
A0A024QZ64,P36543,ALDOC,ATP6V1E1
O00268,P20226,TAF4,TBP
P23258,Q9H3S7,TUBG1,PTPN23
O95831,Q99496,AIFM1,RNF2
Q14204,Q9BVA0,DYNC1H1,KATNB1
P42224,Q6NYC1,STAT1,JMJD6
P42224,Q7Z434,STAT1,MAVS
P26368,Q14204,U2AF2,DYNC1H1
P07437,P23258,TUBB,TUBG1
P08670,Q96C92,VIM,SDCCAG3
O60260,Q14011,PRKN,CIRBP
Q6NYC1,Q9Y4E5,JMJD6,ZNF451
Q9BUN8,Q9NQC3,DERL1,RTN4
P13473,Q5SSJ5,LAMP2,HP1BP3
P09936,P13473,UCHL1,LAMP2
P13473,P23258,LAMP2,TUBG1
A0A024R3Z2,P31040,SUMO1,SDHA
A0A024RCJ2,Q6NYC1,HIST1H2BJ,JMJD6
A0A024RD37,P17948,VEGF,FLT1
P31040,P32121,SDHA,ARRB2
P31040,Q7L5N1,SDHA,COPS6
A0A024R475,P31040,CUL3,SDHA
O15205,P31040,UBD,SDHA
O75306,P31040,NDUFS2,SDHA
P31040,P53597,SDHA,SUCLG1
P31040,Q8WXH0,SDHA,SYNE2
P31040,P47985,SDHA,UQCRFS1
A0A024R325,P31040,SUCLG2,SDHA
P31040,Q9Y512,SDHA,SAMM50
P31040,Q96E29,SDHA,MTERF3
P31040,P40925,SDHA,MDH1
A0A024R0M6,P31040,TIMM50,SDHA
P31040,Q9BYD6,SDHA,MRPL1
P31040,P82933,SDHA,MRPS9
P31040,Q8TDB8,SDHA,SLC2A14
O00217,P31040,NDUFS8,SDHA
P31040,Q99460,SDHA,PSMD1
P31040,Q13501,SDHA,SQSTM1
O14975,P31040,SLC27A2,SDHA
A0A024RAD5,O00264,DDOST,PGRMC1
P31040,P61956,SDHA,SUMO2
P31040,P55854,SDHA,SUMO3
Q14204,Q99459,DYNC1H1,CDC5L
P23246,Q7Z2W4,SFPQ,ZC3HAV1
O00159,P35580,MYO1C,MYH10
P82650,Q14197,MRPS22,MRPL58
P31040,Q14197,SDHA,MRPL58
O43541,Q13363,SMAD6,CTBP1
O43541,P36896,SMAD6,ACVR1B
B4DHF6,O43541,WWP2,SMAD6
O43541,P01833,SMAD6,PIGR
O43541,P56545,SMAD6,CTBP2
O43541,Q9Y4E8,SMAD6,USP15
O43541,P46934,SMAD6,NEDD4
O43541,Q86T74,SMAD6,DKFZp451O0517
A0A024RDV8,O43541,TSC22D1,SMAD6
O43541,P37275,SMAD6,ZEB1
O43541,O75582,SMAD6,RPS6KA5
P19474,Q9C035,TRIM21,TRIM5
P58107,Q9NQC3,EPPK1,RTN4
Q15573,Q6NYC1,TAF1A,JMJD6
P23258,Q12834,TUBG1,CDC20
P34931,Q12834,HSPA1L,CDC20
P23258,P34932,TUBG1,HSPA4
P32121,Q13151,ARRB2,HNRNPA0
P34932,P43351,HSPA4,RAD52
A0A024R475,Q13151,CUL3,HNRNPA0
Q13151,Q93034,HNRNPA0,CUL5
Q13151,Q15843,HNRNPA0,NEDD8
Q13151,Q9BUJ2,HNRNPA0,HNRNPUL1
A0A024R6D8,Q13151,SFRS5,HNRNPA0
Q13151,Q59GL1,HNRNPA0,SYNCRIP
A0A024RDF6,Q13151,HNRPDL,HNRNPA0
P61019,Q13151,RAB2A,HNRNPA0
B2R7W3,Q13151,BCAS2,HNRNPA0
Q13151,Q99729,HNRNPA0,HNRNPAB
Q13151,Q546Y9,HNRNPA0,AID
P08133,P20648,ANXA6,ATP4A
Q13151,Q13409,HNRNPA0,DYNC1I2
P11137,Q13151,MAP2,HNRNPA0
O00232,Q13151,PSMD12,HNRNPA0
Q13151,Q9UNM6,HNRNPA0,PSMD13
A4D105,Q13151,RPA3,HNRNPA0
A0A024RB45,O95379,PRR13,TNFAIP8
Q13151,Q99496,HNRNPA0,RNF2
A0A024R3Z2,Q13151,SUMO1,HNRNPA0
P28749,Q15329,RBL1,E2F5
P10451,P46821,SPP1,MAP1B
P34932,Q6NYC1,HSPA4,JMJD6
A0A024R7L5,Q96CS7,UPF1,PLEKHB2
O75604,P51787,USP2,KCNQ1
Q14204,Q96IP4,DYNC1H1,FAM46A
P05129,Q9C035,PRKCG,TRIM5
P34932,P51787,HSPA4,KCNQ1
Q14204,Q9Y6G9,DYNC1H1,DYNC1LI1
O43172,U3KQK1,PRPF4,LSM4
Q9NX20,Q9P015,MRPL16,MRPL15
P23258,P50990,TUBG1,CCT8
O00159,Q9Y2K6,MYO1C,USP20
Q13151,Q9Y6G9,HNRNPA0,DYNC1LI1
P50990,Q00005,CCT8,PPP2R2B
E9PAU2,P23258,RAVER1,TUBG1
A0A024R319,P28749,LAMB2,RBL1
P54274,Q9NQC3,TERF1,RTN4
O43172,P55769,PRPF4,SNU13
P49411,Q00005,TUFM,PPP2R2B
Q7Z2W4,Q96GD4,ZC3HAV1,AURKB
A0A024R475,O43172,CUL3,PRPF4
O00264,O15503,PGRMC1,INSIG1
O43172,Q86TB9,PRPF4,PATL1
O43172,P09661,PRPF4,SNRPA1
O43172,P56134,PRPF4,ATP5J2
A0A024R8Y7,O43172,C1orf156,PRPF4
O43172,Q9Y3H6,PRPF4,N4BP2L2
A8K513,O43172,SNRNP27,PRPF4
O43526,P51787,KCNQ2,KCNQ1
P55317,Q6UXD5,FOXA1,SEZ6L2
O43541,Q53T26,SMAD6,PELI1
Q6NYC1,Q6ZN18,JMJD6,AEBP2
O15205,Q6ZNE5,UBD,ATG14
P82650,Q86VP6,MRPS22,CAND1
Q5SSJ5,Q86VP6,HP1BP3,CAND1
P40227,Q00005,CCT6A,PPP2R2B
Q6ZNE5,Q99496,ATG14,RNF2
A0A024RAG3,Q6ZNE5,RALB,ATG14
Q13151,Q86VP6,HNRNPA0,CAND1
Q7Z2W4,Q86VP6,ZC3HAV1,CAND1
Q13111,Q6ZNE5,CHAF1A,ATG14
P31040,Q86VP6,SDHA,CAND1
P15927,Q14527,RPA2,HLTF
P05067,Q9BTT6,APP,LRRC1
O60568,Q14204,PLOD3,DYNC1H1
A3RJH1,Q14204,DDX1,DYNC1H1
B7Z647,Q9BTT6,DLG4,LRRC1
Q8IY92,Q9BTT6,SLX4,LRRC1
Q7Z2W4,Q9H9Z2,ZC3HAV1,LIN28A
Q14527,Q9NTX7,HLTF,RNF146
P49591,P54274,SARS,TERF1
P49591,Q9NUX5,SARS,POT1
P26639,P49591,TARS,SARS
O43716,P49591,GATC,SARS
P21283,P49591,ATP6V1C1,SARS
P49591,Q14247,SARS,CTTN
P49591,Q96G46,SARS,DUS3L
P49591,Q9BQ52,SARS,ELAC2
P42224,P49591,STAT1,SARS
P05412,P49591,JUN,SARS
P01106,P49591,MYC,SARS
Q16531,Q9NQC3,DDB1,RTN4
Q6NYC1,Q8N0S6,JMJD6,CENPL
O76021,Q5SSJ5,RSL1D1,HP1BP3
P41161,Q6UXD5,ETV5,SEZ6L2
P11047,P23258,LAMC1,TUBG1
P25685,Q16665,DNAJB1,HIF1A
P05161,P25685,ISG15,DNAJB1
H6UYS5,P25685,SNCA,DNAJB1
P25685,P42858,DNAJB1,HTT
A0A024R3E3,Q14151,APOA1,SAFB2
H6UYS5,P08133,SNCA,ANXA6
P25685,P55017,DNAJB1,SLC12A3
P25685,P30566,DNAJB1,ADSL
Q14151,Q14161,SAFB2,GIT2
P25685,Q16555,DNAJB1,DPYSL2
P25685,P57081,DNAJB1,WDR4
P25685,Q9UHD9,DNAJB1,UBQLN2
P25685,Q9UIA9,DNAJB1,XPO7
P25685,Q00987,DNAJB1,MDM2
P25685,Q99933,DNAJB1,BAG1
O95816,P25685,BAG2,DNAJB1
P49674,Q96C92,CSNK1E,SDCCAG3
P25685,P26651,DNAJB1,ZFP36
P55854,Q14151,SUMO3,SAFB2
P17066,P25685,HSPA6,DNAJB1
E9PJK2,Q14151,EED,SAFB2
P25685,Q96CS3,DNAJB1,FAF2
P35226,Q14151,BMI1,SAFB2
P25685,Q86U55,DNAJB1,FANCA
G5EA09,Q96C92,SDCBP,SDCCAG3
P25685,Q53HF2,DNAJB1,HSPA8
A0A024R730,P25685,CFTR,DNAJB1
A8MQT7,Q96C92,CD99,SDCCAG3
E9PLD1,Q00169,SCP2,PITPNA
