V1,V2,Gene1,Gene2
P17542,Q96BH3,TAL1,ELSPBP1
O43172,P0CG48,PRPF4,UBC
O95831,P0CG48,AIFM1,UBC
P0CG48,P52294,UBC,KPNA1
P0CG48,P48651,UBC,PTDSS1
O95831,P36551,AIFM1,CPOX
O00442,P0CG48,RTCA,UBC
P0CG48,Q9BWD1,UBC,ACAT2
P0CG48,Q6NYC1,UBC,JMJD6
P0CG48,Q00169,UBC,PITPNA
P16403,Q8IWS0,HIST1H1C,PHF6
P32320,Q96CS7,CDA,PLEKHB2
Q6P1W5,Q96CS7,C1orf94,PLEKHB2
O00268,Q92830,TAF4,KAT2A
P0CG48,Q9C035,UBC,TRIM5
P16403,Q6PD62,HIST1H1C,CTR9
P0CG48,Q6UXD5,UBC,SEZ6L2
P0CG48,P31040,UBC,SDHA
P16403,Q96L73,HIST1H1C,NSD1
P08913,P09936,ADRA2A,UCHL1
A0A024R7W9,O95831,COPS5,AIFM1
P0CG48,Q9UBS8,UBC,RNF14
P0CG48,Q00005,UBC,PPP2R2B
P0CG48,P16403,UBC,HIST1H1C
O75489,P0CG48,NDUFS3,UBC
P0CG48,Q03393,UBC,PTS
P08133,P0CG48,ANXA6,UBC
P06730,P0CG48,EIF4E,UBC
P0CG48,P46821,UBC,MAP1B
P0CG48,Q13151,UBC,HNRNPA0
P55854,Q13151,SUMO3,HNRNPA0
Q03393,Q9Y576,PTS,ASB1
O95831,Q15022,AIFM1,SUZ12
P16403,Q13620,HIST1H1C,CUL4B
P0CG48,P18669,UBC,PGAM1
B2RBV7,P16403,-,HIST1H1C
A0A024R7W9,P16403,COPS5,HIST1H1C
A0A024R7W9,P34931,COPS5,HSPA1L
P09936,Q13794,UCHL1,PMAIP1
A0A024R7W9,P52294,COPS5,KPNA1
P0CG48,Q7Z2W4,UBC,ZC3HAV1
A0A024R7W9,Q9P015,COPS5,MRPL15
P16403,Q93034,HIST1H1C,CUL5
P0CG48,Q96C92,UBC,SDCCAG3
O43172,P09651,PRPF4,HNRNPA1
A0A024R9N6,P19174,EHD4,PLCG1
O95947,P25788,TBX6,PSMA3
P51787,Q96CW1,KCNQ1,AP2M1
B4E3T4,O95947,RBPMS,TBX6
P51149,Q2TU89,RAB7A,AAG1
P51149,Q9NQ11,RAB7A,ATP13A2
P15336,Q9NQC3,ATF2,RTN4
P51149,P68104,RAB7A,EEF1A1
Q7L5Y6,Q9UBS8,DET1,RNF14
P26368,Q13151,U2AF2,HNRNPA0
P51149,P55072,RAB7A,VCP
P27694,P51149,RPA1,RAB7A
P51149,Q13344,RAB7A,FUS
P51149,P60411,RAB7A,KRTAP10-9
P51149,P60369,RAB7A,KRTAP10-3
P51149,Q96CS3,RAB7A,FAF2
P20340,P51149,RAB6A,RAB7A
A0A024RB09,P51149,RAB5B,RAB7A
A0A024R2K1,P51149,RAB5A,RAB7A
A0A090N900,P51149,RHEB,RAB7A
P51149,Q9UL26,RAB7A,RAB22A
O43172,P05067,PRPF4,APP
O43172,Q9BSJ2,PRPF4,TUBGCP2
O43172,Q99471,PRPF4,PFDN5
O43172,Q13107,PRPF4,USP4
O43172,Q9UK45,PRPF4,LSM7
O43172,Q9Y4E8,PRPF4,USP15
O14818,P51149,PSMA7,RAB7A
P15336,P51149,ATF2,RAB7A
P36543,Q9Y3Z3,ATP6V1E1,SAMHD1
O95379,Q12974,TNFAIP8,PTP4A2
O43172,O60925,PRPF4,PFDN1
A0A024RBM7,P06730,PRDM4,EIF4E
P08133,Q9NRC8,ANXA6,SIRT7
P35270,Q8IWZ8,SPR,SUGP1
P36543,Q9H9B4,ATP6V1E1,SFXN1
O14828,P36543,SCAMP3,ATP6V1E1
P48431,Q9P015,SOX2,MRPL15
A0A024R1N4,P17542,XRCC6,TAL1
A0A024RAA0,Q7Z434,C1orf166,MAVS
P04271,P08133,S100B,ANXA6
P55072,Q96C92,VCP,SDCCAG3
O43396,Q9Y5T5,TXNL1,USP16
P34931,Q549C5,HSPA1L,MST065
A2A3R6,Q13151,RPS6,HNRNPA0
O95379,Q9H8W4,TNFAIP8,PLEKHF2
A0A024QYU9,Q9P015,EIF3S8,MRPL15
P19174,Q9Y4H2,PLCG1,IRS2
O95259,Q96HA8,KCNH1,WDYHV1
G5E962,Q96HA8,MAGEA11,WDYHV1
A0A024RDV8,Q96HA8,TSC22D1,WDYHV1
B4E3T4,Q96HA8,RBPMS,WDYHV1
Q96HA8,Q9NVV9,WDYHV1,THAP1
Q96HA8,Q9UH03,WDYHV1,SEPT3
Q68D86,Q96HA8,CCDC102B,WDYHV1
Q8WWZ3,Q96HA8,EDARADD,WDYHV1
O43439,Q96HA8,CBFA2T2,WDYHV1
P06730,Q8N122,EIF4E,RPTOR
Q06124,Q9UIB8,PTPN11,CD84
P19174,Q8N806,PLCG1,UBR7
P51787,P62136,KCNQ1,PPP1CA
P28360,P56178,MSX1,DLX5
Q15628,Q93038,TRADD,TNFRSF25
O43819,P36543,SCO2,ATP6V1E1
O95433,P06730,AHSA1,EIF4E
Q14204,Q9HCD5,DYNC1H1,NCOA5
P17568,P34931,NDUFB7,HSPA1L
P61964,Q7Z434,WDR5,MAVS
O95831,P98170,AIFM1,XIAP
O95831,Q8WXK4,AIFM1,ASB12
Q02952,Q9Y6G9,AKAP12,DYNC1LI1
A8IE48,P52294,GABPA,KPNA1
O15230,Q13107,LAMA5,USP4
O43172,Q8NBS9,PRPF4,TXNDC5
Q7Z2W4,Q9Y6Y0,ZC3HAV1,IVNS1ABP
O95721,P08069,SNAP29,IGF1R
O43396,Q15084,TXNL1,PDIA6
Q96HA8,Q9HCD5,WDYHV1,NCOA5
P52294,Q8WYA6,KPNA1,CTNNBL1
Q9NP66,Q9UNN4,HMG20A,GTF2A1L
O00442,P22087,RTCA,FBL
P31040,Q13617,SDHA,CUL2
P31040,Q93034,SDHA,CUL5
B2RBV7,P31040,-,SDHA
A0A090N7U0,P31040,CUL1,SDHA
P31040,Q96GG9,SDHA,DCUN1D1
P52294,Q14974,KPNA1,KPNB1
P14927,P31040,UQCRB,SDHA
P31040,Q9UPT8,SDHA,ZC3H4
E9PAU2,P31040,RAVER1,SDHA
A0A024R2M9,P31040,HIGD1A,SDHA
P31040,Q03518,SDHA,TAP1
C9JQS0,P31040,TMEM14B,SDHA
P00387,P31040,CYB5R3,SDHA
P31040,Q9NX62,SDHA,IMPAD1
P31040,P60842,SDHA,EIF4A1
P24752,P31040,ACAT1,SDHA
P24539,P31040,ATP5F1,SDHA
A0A024RBX9,P31040,PDHA1,SDHA
P31040,P49821,SDHA,NDUFV1
P31040,Q15843,SDHA,NEDD8
P06730,Q14240,EIF4E,EIF4A2
Q14197,Q9P015,MRPL58,MRPL15
O75489,Q14197,NDUFS3,MRPL58
Q69YH5,Q6NYC1,CDCA2,JMJD6
P09936,Q9NYB0,UCHL1,TERF2IP
P09936,Q53HF2,UCHL1,HSPA8
P09936,Q969Q1,UCHL1,TRIM63
A0A024RBB6,P09936,CDK4,UCHL1
O60260,P09936,PRKN,UCHL1
P09936,Q9UK80,UCHL1,USP21
P09936,Q8N726,UCHL1,CDKN2A
Q13151,Q13617,HNRNPA0,CUL2
P31943,Q13151,HNRNPH1,HNRNPA0
P38159,Q13151,RBMX,HNRNPA0
P14866,Q13151,HNRNPL,HNRNPA0
Q13151,Q96BA7,HNRNPA0,HNRNPU
Q13151,Q15056,HNRNPA0,EIF4H
P23396,Q13151,RPS3,HNRNPA0
Q13151,Q9HB71,HNRNPA0,CACYBP
P20674,Q13151,COX5A,HNRNPA0
Q13151,Q86W42,HNRNPA0,THOC6
Q13151,Q96PK6,HNRNPA0,RBM14
P19320,Q13151,VCAM1,HNRNPA0
P31942,Q13151,HNRNPH3,HNRNPA0
P06748,Q13151,NPM1,HNRNPA0
P02545,Q13151,LMNA,HNRNPA0
P20648,P51787,ATP4A,KCNQ1
O95793,Q13151,STAU1,HNRNPA0
E9PJK2,Q13151,EED,HNRNPA0
P35270,Q549N5,SPR,SRPRB
P61956,Q13151,SUMO2,HNRNPA0
Q13489,Q7Z434,BIRC3,MAVS
A0A024R1X3,P35573,VPS25,AGL
O95379,P56537,TNFAIP8,EIF6
B3KNV5,P08069,SH2B1,IGF1R
B4DXM8,P08069,PIK3R3,IGF1R
P08069,Q9UKW4,IGF1R,VAV3
P08069,P20936,IGF1R,RASA1
P00533,P08069,EGFR,IGF1R
P04626,P08069,ERBB2,IGF1R
A0A024R3Z2,P08069,SUMO1,IGF1R
P04637,P08069,TP53,IGF1R
P08069,Q13322,IGF1R,GRB10
P08069,P0CG48,IGF1R,UBC
P08069,P32121,IGF1R,ARRB2
P21980,P82251,TGM2,SLC7A9
P35573,Q13620,AGL,CUL4B
P35573,Q93034,AGL,CUL5
P35573,Q9Y575,AGL,ASB3
P35573,Q8WWW0,AGL,RASSF5
A0A024R821,P06730,EIF3S9,EIF4E
O76011,Q96CS7,KRT34,PLEKHB2
O00303,P06730,EIF3F,EIF4E
Q14693,Q14934,LPIN1,NFATC4
O43741,P35573,PRKAB2,AGL
B3KVH4,P09936,AKT1,UCHL1
B3KVH4,P98177,AKT1,FOXO4
B3KVH4,P19174,AKT1,PLCG1
A0A090N7U0,P34820,CUL1,BMP8B
P28749,Q9Y5X4,RBL1,NR2E3
A0A024R8S5,O43396,P4HB,TXNL1
O60260,P16403,PRKN,HIST1H1C
A0A024R9W5,Q9NQC3,HUWE1,RTN4
O00159,P15927,MYO1C,RPA2
O15105,O43541,SMAD7,SMAD6
P04406,P43351,GAPDH,RAD52
P06730,Q63ZY3,EIF4E,KANK2
P31040,Q9UNN8,SDHA,PROCR
O43172,P08579,PRPF4,SNRPB2
Q7Z434,Q96DC9,MAVS,OTUB2
Q3SYF1,Q9NQC3,SNX12,RTN4
Q12872,Q6NYC1,SFSWAP,JMJD6
A4D1U3,P36543,SSBP1,ATP6V1E1
Q13151,Q5VWX1,HNRNPA0,KHDRBS2
P08133,P52888,ANXA6,THOP1
A4D1U3,P17542,SSBP1,TAL1
O95140,P45984,MFN2,MAPK9
A0A024R9W5,O95140,HUWE1,MFN2
O15205,O43502,UBD,RAD51C
Q14204,Q9NRC8,DYNC1H1,SIRT7
O00159,Q9NRC8,MYO1C,SIRT7
Q7Z2W4,Q9NRC8,ZC3HAV1,SIRT7
P46821,Q9NRC8,MAP1B,SIRT7
O00295,Q01844,TULP2,EWSR1
Q5SSJ5,Q9NRC8,HP1BP3,SIRT7
Q969R8,Q9Y664,ITFG2,KPTN
O00268,Q9Y4A5,TAF4,TRRAP
A4D299,O00268,TAF6,TAF4
P32121,P34931,ARRB2,HSPA1L
Q5SRE5,Q9NRC8,NUP188,SIRT7
B2RBV7,P34931,-,HSPA1L
P34931,Q93034,HSPA1L,CUL5
P34931,Q13617,HSPA1L,CUL2
A0A090N7U0,P34931,CUL1,HSPA1L
P34931,Q96GG9,HSPA1L,DCUN1D1
P34931,P62993,HSPA1L,GRB2
P29353,P34931,SHC1,HSPA1L
B7Z240,P34931,EPS15,HSPA1L
P34931,Q96CW1,HSPA1L,AP2M1
P34931,Q9P035,HSPA1L,HACD3
A0A024R3I5,P34931,MCAM,HSPA1L
P34931,Q8IYS2,HSPA1L,KIAA2013
P34931,Q6PIW4,HSPA1L,FIGNL1
P34931,P35658,HSPA1L,NUP214
P00387,P34931,CYB5R3,HSPA1L
P25705,P34931,ATP5F1A,HSPA1L
P34931,Q96DA6,HSPA1L,DNAJC19
P34896,P34931,SHMT1,HSPA1L
P34931,Q9UJZ1,HSPA1L,STOML2
O75306,P34931,NDUFS2,HSPA1L
P34931,Q9UKB3,HSPA1L,DNAJC12
P34931,P49821,HSPA1L,NDUFV1
P31040,Q9NRC8,SDHA,SIRT7
P34931,Q8TDR0,HSPA1L,TRAF3IP1
P34931,Q9NPI6,HSPA1L,DCP1A
P34931,Q8IZD4,HSPA1L,DCP1B
P34931,Q9BUU2,HSPA1L,METTL22
P11441,P34931,UBL4A,HSPA1L
O95817,P34931,BAG3,HSPA1L
B3KNU0,P34931,RAP1GDS1,HSPA1L
A0A024R284,P34931,UBQLN1,HSPA1L
O95373,P34931,IPO7,HSPA1L
P34931,Q9Y2K1,HSPA1L,ZBTB1
O95429,P34931,BAG4,HSPA1L
O95793,P34931,STAU1,HSPA1L
O43918,P34931,AIRE,HSPA1L
P34931,Q9BV73,HSPA1L,CEP250
P34931,Q86XR8,HSPA1L,CEP57
P04637,P34931,TP53,HSPA1L
O43396,Q14315,TXNL1,FLNC
O00268,P05412,TAF4,JUN
P17948,P49765,FLT1,VEGFB
A0A024RDU9,O00268,GTF2F2,TAF4
O95140,Q7Z434,MFN2,MAVS
P16104,P34931,H2AFX,HSPA1L
B0QZ35,P34931,SIRT1,HSPA1L
P34931,Q9NTG7,HSPA1L,SIRT3
Q14527,Q9NS91,HLTF,RAD18
A0A024R1N4,P31040,XRCC6,SDHA
P55072,Q99956,VCP,DUSP9
O43172,P55072,PRPF4,VCP
O00124,P55072,UBXN8,VCP
O43819,P35270,SCO2,SPR
O00268,P21675,TAF4,TAF1
Q15645,Q96HA8,TRIP13,WDYHV1
P04424,Q96HA8,ASL,WDYHV1
O75553,Q96HA8,DAB1,WDYHV1
A0A024R7E9,Q96HA8,DHPS,WDYHV1
A0A024R525,Q96HA8,FTH1,WDYHV1
A0A087X1W2,Q96HA8,PRMT1,WDYHV1
P11908,Q96HA8,PRPS2,WDYHV1
P11217,Q96HA8,PYGM,WDYHV1
Q5JR59,Q96HA8,MTUS2,WDYHV1
Q96HA8,Q9Y2J4,WDYHV1,AMOTL2
Q96HA8,Q9BXD5,WDYHV1,NPL
Q13242,Q14204,SRSF9,DYNC1H1
O00268,Q99081,TAF4,TCF12
E5KTI5,Q7Z2W4,NTHL1,ZC3HAV1
O60260,O95140,PRKN,MFN2
A0A024QZ64,P36543,ALDOC,ATP6V1E1
O00268,P20226,TAF4,TBP
O95831,Q99496,AIFM1,RNF2
Q14204,Q9BVA0,DYNC1H1,KATNB1
P42224,Q6NYC1,STAT1,JMJD6
O43396,Q9BTM9,TXNL1,URM1
P42224,Q15628,STAT1,TRADD
P42224,Q7Z434,STAT1,MAVS
P42224,P52294,STAT1,KPNA1
P26368,Q14204,U2AF2,DYNC1H1
P16403,P61964,HIST1H1C,WDR5
P08670,Q96C92,VIM,SDCCAG3
O60260,Q14011,PRKN,CIRBP
Q6NYC1,Q9Y4E5,JMJD6,ZNF451
Q9BUN8,Q9NQC3,DERL1,RTN4
P13473,Q5SSJ5,LAMP2,HP1BP3
P09936,P13473,UCHL1,LAMP2
O43396,P38606,TXNL1,ATP6V1A
O43396,O43592,TXNL1,XPOT
A0A024R8P8,P19174,RPL38,PLCG1
O15230,Q5TEH5,LAMA5,PLG
O15230,P50895,LAMA5,BCAM
P51149,P62820,RAB7A,RAB1A
A0A024R5Z8,P51149,RAB11A,RAB7A
A0A024R7I3,P51149,RAB8A,RAB7A
P11021,P51149,HSPA5,RAB7A
P51149,P61978,RAB7A,HNRNPK
A0A024RBI5,P51149,CORO1C,RAB7A
O95817,P51149,BAG3,RAB7A
A0A024R3Z2,P31040,SUMO1,SDHA
A4D105,P51149,RPA3,RAB7A
P51149,Q00987,RAB7A,MDM2
E9PJK2,P51149,EED,RAB7A
A8K2S7,P51149,UBAC2,RAB7A
A0A024R3U9,P51149,RAB4A,RAB7A
A0A024R4A4,P51149,RAB17,RAB7A
P24386,P51149,CHM,RAB7A
A0A024R0K8,P51149,RAB4B,RAB7A
A0A024RCJ2,Q6NYC1,HIST1H2BJ,JMJD6
P06730,P42345,EIF4E,MTOR
P06730,P38646,EIF4E,HSPA9
O94903,P06730,PLPBP,EIF4E
P06730,Q5T124,EIF4E,UBXN11
P06730,Q04637,EIF4E,EIF4G1
O00232,O43396,PSMD12,TXNL1
A0A024RD37,P17948,VEGF,FLT1
A0A024R3T8,P16403,PARP1,HIST1H1C
P0CG48,P51149,UBC,RAB7A
P31040,P32121,SDHA,ARRB2
P31040,Q7L5N1,SDHA,COPS6
A0A024R475,P31040,CUL3,SDHA
O15205,P31040,UBD,SDHA
O75306,P31040,NDUFS2,SDHA
P31040,P53597,SDHA,SUCLG1
P31040,Q8WXH0,SDHA,SYNE2
P31040,P47985,SDHA,UQCRFS1
A0A024R325,P31040,SUCLG2,SDHA
P19174,P23458,PLCG1,JAK1
P31040,Q9Y512,SDHA,SAMM50
P31040,Q96E29,SDHA,MTERF3
P31040,P40925,SDHA,MDH1
A0A024R0M6,P31040,TIMM50,SDHA
P31040,Q9BYD6,SDHA,MRPL1
P31040,P82933,SDHA,MRPS9
P31040,Q8TDB8,SDHA,SLC2A14
O00217,P31040,NDUFS8,SDHA
P31040,Q99460,SDHA,PSMD1
P31040,Q13501,SDHA,SQSTM1
O14975,P31040,SLC27A2,SDHA
A0A024RAD5,O00264,DDOST,PGRMC1
P31040,P61956,SDHA,SUMO2
P31040,P55854,SDHA,SUMO3
O94782,P52294,USP1,KPNA1
Q14204,Q99459,DYNC1H1,CDC5L
P23246,Q7Z2W4,SFPQ,ZC3HAV1
O00159,P35580,MYO1C,MYH10
P82650,Q14197,MRPS22,MRPL58
P31040,Q14197,SDHA,MRPL58
O43541,Q13363,SMAD6,CTBP1
O43541,P36896,SMAD6,ACVR1B
B4DHF6,O43541,WWP2,SMAD6
O43541,P01833,SMAD6,PIGR
O43541,P56545,SMAD6,CTBP2
O43541,Q9Y4E8,SMAD6,USP15
O43541,P46934,SMAD6,NEDD4
O43541,Q86T74,SMAD6,DKFZp451O0517
A0A024RDV8,O43541,TSC22D1,SMAD6
O43541,P37275,SMAD6,ZEB1
O43541,O75582,SMAD6,RPS6KA5
P19474,Q9C035,TRIM21,TRIM5
P58107,Q9NQC3,EPPK1,RTN4
Q15573,Q6NYC1,TAF1A,JMJD6
P34931,Q12834,HSPA1L,CDC20
P68366,Q12834,TUBA4A,CDC20
O75815,P04626,BCAR3,ERBB2
Q08209,Q14206,PPP3CA,RCAN2
O75815,P21860,BCAR3,ERBB3
P16403,Q9BTW9,HIST1H1C,TBCD
P32121,Q13151,ARRB2,HNRNPA0
P34932,P43351,HSPA4,RAD52
A0A024R475,Q13151,CUL3,HNRNPA0
Q13151,Q93034,HNRNPA0,CUL5
Q13151,Q15843,HNRNPA0,NEDD8
Q13151,Q9BUJ2,HNRNPA0,HNRNPUL1
A0A024R6D8,Q13151,SFRS5,HNRNPA0
Q13151,Q59GL1,HNRNPA0,SYNCRIP
A0A024RDF6,Q13151,HNRPDL,HNRNPA0
P61019,Q13151,RAB2A,HNRNPA0
B2R7W3,Q13151,BCAS2,HNRNPA0
Q13151,Q99729,HNRNPA0,HNRNPAB
Q13151,Q546Y9,HNRNPA0,AID
P08133,P20648,ANXA6,ATP4A
Q13151,Q13409,HNRNPA0,DYNC1I2
P11137,Q13151,MAP2,HNRNPA0
O00232,Q13151,PSMD12,HNRNPA0
Q13151,Q9UNM6,HNRNPA0,PSMD13
A4D105,Q13151,RPA3,HNRNPA0
A0A024RB45,O95379,PRR13,TNFAIP8
P38159,Q96MS0,RBMX,ROBO3
Q13151,Q99496,HNRNPA0,RNF2
A0A024R3Z2,Q13151,SUMO1,HNRNPA0
P28749,Q15329,RBL1,E2F5
P10451,P46821,SPP1,MAP1B
P34932,Q6NYC1,HSPA4,JMJD6
A0A024R7L5,Q96CS7,UPF1,PLEKHB2
O75604,P51787,USP2,KCNQ1
O75604,Q15628,USP2,TRADD
P19174,Q99704,PLCG1,DOK1
Q9UBS8,X6REB3,RNF14,TCF3
O75582,P06730,RPS6KA5,EIF4E
P31947,P98177,SFN,FOXO4
Q14204,Q96IP4,DYNC1H1,FAM46A
Q96IP4,Q9UBS8,FAM46A,RNF14
P05129,Q9C035,PRKCG,TRIM5
P34932,P51787,HSPA4,KCNQ1
P34932,P52294,HSPA4,KPNA1
O00124,Q86TM6,UBXN8,SYVN1
Q14204,Q9Y6G9,DYNC1H1,DYNC1LI1
P19174,Q9Y2X7,PLCG1,GIT1
O43172,U3KQK1,PRPF4,LSM4
Q9NX20,Q9P015,MRPL16,MRPL15
O43396,P62333,TXNL1,PSMC6
O00159,Q9Y2K6,MYO1C,USP20
Q13151,Q9Y6G9,HNRNPA0,DYNC1LI1
P50990,Q00005,CCT8,PPP2R2B
O15294,P98177,OGT,FOXO4
P98177,Q04864,FOXO4,REL
O14980,P98177,XPO1,FOXO4
B0QZ35,P98177,SIRT1,FOXO4
O43396,Q15021,TXNL1,NCAPD2
A0A024R319,P28749,LAMB2,RBL1
P54274,Q9NQC3,TERF1,RTN4
O43172,P55769,PRPF4,SNU13
P49411,Q00005,TUFM,PPP2R2B
Q7Z2W4,Q96GD4,ZC3HAV1,AURKB
A0A024R475,O43172,CUL3,PRPF4
O00264,O15503,PGRMC1,INSIG1
O43172,Q86TB9,PRPF4,PATL1
O43172,P09661,PRPF4,SNRPA1
O43172,P56134,PRPF4,ATP5J2
A0A024R8Y7,O43172,C1orf156,PRPF4
O43172,Q9Y3H6,PRPF4,N4BP2L2
A8K513,O43172,SNRNP27,PRPF4
O43526,P51787,KCNQ2,KCNQ1
P55317,Q6UXD5,FOXA1,SEZ6L2
O43541,Q53T26,SMAD6,PELI1
Q6NYC1,Q6ZN18,JMJD6,AEBP2
O15205,Q6ZNE5,UBD,ATG14
P82650,Q86VP6,MRPS22,CAND1
Q5SSJ5,Q86VP6,HP1BP3,CAND1
P40227,Q00005,CCT6A,PPP2R2B
